text,reply count,like count,sentiment,
Harusnya tau gini gw golput aja ya :( tapi di billang anti bgt :( pas mau milih calonnya semua gitu:( kayaknya cuma gw doang ya yg ngerasain capres kemaren tuh galau bgtðŸ™ðŸ˜ŒðŸ˜­ðŸ˜­,0,0,,
Nangis gw setelah nonton ini film,0,0,,
Ya Tuhan. Menit 15-16 Penderitaan orang lain dijadikan bahan candaan,0,0,,
"1:08:02 anjing pantesan dia jadi mentri agama , memang pemerintah ni BISNIS doang .",0,1,,
mati aja kau pak tua,0,0,,
"Gw sih ada pro kontra nya, emang penting sih indonesia mbanyakin pembangkit listik apalagi ditahun 2055 yang kata nya minyak bumi akan habis dan pasti nya listik jadi induk energi paling dibutuhkan, kontranya sih ke cara penanganan dampak nya yang belom baik di indo apalagi di negri yang uang jadi yang paling unggul ini",1,3,,
datang ke sini lagi karena omnimbus law,0,0,,
Sungguh berdosa para pemilik pltu serta tambang yg merugikan orang lain,0,1,,
Yg trending youtuber sampah ata,0,0,,
"INGAT GAGALKAN UU CILAKA, Ciptaan Rezim Jokowi.. Yang terjadi selanjutnya akan lebih rusak alam kita dibanding sekarang.",0,1,1,
Luhut panjaitan,0,0,,
Goblok banyak hantu nya haha,0,0,,
"gue nonton setahun yg lalu, hari ini mampir lagi sekedar mengingatkan. siap2 yg punya tanah dekat tambang beliau dilibas habis oleh omnibus law..",0,0,,
Gw gak sengaja trdampar disini krn nyari investor buat beli lahan batu bara milik gw. Anak gw pengen masuk kedokteran. Gw bertahun tahun kerja swasta gak mampu ngumpulin duit stengah M utk biaya msk nya.,0,1,,
Lanjut 3 Periode,1,1,,
"Yang dislike 
 Why?",0,0,,
Sedih nontonnya .. ðŸ˜¢ðŸ˜­ðŸ˜­ðŸ˜­,0,0,,
"pihak yg terkait mana ada nonton kekginian
 brangkat ke luar negri pesen bioskop pribadi ngetek sambil ktawa ktiwi",0,0,,
Cepat sehat dan lekas membaik akal para pejabat-pejabat negri yg mempunyai kuasa dan tahta dan lekas membaik Indonesiaku.,0,0,,
16-10-20 kembali menonton,0,5,,
6:08 amarah ibu suli,0,3,,
"udah setahun...
 keliatan kan kedoknya sekarang",0,5,,
"Tinggal tunggu joker lahir, hal baik yang tidak d inginkan mengerti maksudnya?",0,0,,
Nyambung ke omnibuslaw sekarang,0,1,,
""" dunia bukanlah tempat yang Aman untuk ditinggali, bukan Karena orang orangnya yang jahat tapi karena orang orangnya yang tidak peduli""",1,8,,
"Dari awal lahir film ini sdh sangat viral.. Sdh paham, semua sama saja.. Makin yakin pilkada abstain...",0,3,,
Yang membuat film ini bang dhandy Laksono ðŸ”¥,0,0,,
"Setahun lalu, dan saya menonton kembali saat issue demo dan UU Omnibuslaw yang sedang tranding beberapa pekan ini, dan sekarang saya semakin paham. Ya Allah Jauhkanlah kami dari segala tipudaya dunia yaAllahðŸ™ðŸ˜Œ",0,0,,
Lama2 indonesia bisa hancur alam semestanya....,0,0,,
"Sekarang kalimantan bukan lubang bekas tambang doang, tapi hutan ny udah rata ama kebon sawit..",0,0,,
"Nyesel kenapa baru nonton sekarang :(
 Bagus bgtttðŸ˜­",0,3,1,
Oh Indonesiaku ðŸ˜¢,0,0,,
Saya sangat mengharap kan penelusuran terkini mengenai kisah ini,0,0,,
semoga lekas membaik,0,0,,
"GARA-GARA OMNIBUSLAW...
 BALIK LAGI GUA TRIAKÂ² suruh nonton orangÂ² alay pendukung UU LAKNAT itu,,, meraka tanya tau dari mana hutan negri kita rusak...???
 Niiiih nonton ini duluuuu baru triakÂ² ...ðŸ˜­ðŸ˜­ðŸ˜­",0,0,1,
Kesini gara gara demo ðŸ˜Œ,0,0,,
Kesekian kalinya nonton ini dan makin menyayat hati. Lekas membaik indonesia,0,0,1,
"Ya.Allah.....miris liat negri ini,rakyat kecil haknya di rampas,makin sengsara,para petingginya pada koruptor,sama nikmatin hasil tambang...?",0,0,,
"â˜¹â˜¹
 Cepatlah bangkit negeriku ðŸ˜­ðŸ˜­ðŸ˜­
 Elit elit sadarlahh ..",0,1,,
Balik lagi karena RUU omnibuslaw dan banyaknya konspirasi,0,0,,
"Pertama lihat video ini tembus 10jt, eh skrng sdh 34jt view ðŸ‘ðŸ‘",0,2,,
"KUASA DIBALIK USAHA atau USAHA DIBALIK KUASA? 
 #Chanell inspiratif, tentu sangat tidak mudah untuk membuat video ini, penuh tantangan bahkan saya yakin ada ancaman. 
 
 Semoga terus menginspirasi anak bangsa. ðŸ™",0,1,,
setelah uu cipta kerja di sah kan... saya takut akan byk daerah seperti ini nantinya... sedih,0,0,,
Intinya dalam politik tidak ada yang 100% bersih,0,0,,
Jgn smpe orang atas tauu..nnti videonnya hilang,0,0,,
Yang setuju virus Corona untuk menutupi dampak polusi PLTU like..,0,1,,
balik ke sini gegara omnibus?,0,1,,
Ramai berita omnibus law jadi ingat iniðŸ¤”,0,0,,
"Balik lagi kesini setelah merekomendasikan pada orang-orang 'bloks' yang sok peduli sama omnibuslaw yang sah & menyalahkan pilpres kemarin karena salah pilih 
 Justru disini saya mengingatkan bahwa siapapun saat itu yang kalian pilih ( pilpres ) pilihan itu adalah Simalakama !!",2,53,0,
Yang kemari (lagi) karena omnibus law disahkan ðŸ¤£,6,58,,
Udah nonton thn 2019 skrng Balik sini setelah Di sahkan RUU Ciptaker,0,10,,
gw balik karna UU CIPTAKERJA disah in,0,8,,
Ada yang balik ke sini setelah RUU cipta kerja disahkan ?,7,77,,
"Meski udh dua kali nonton ini, saya secara pribadi masih merasa begitu sedih dan terpukul melihat kondisi bangsa yang seperti ini, alam rusak, rakyat melarat.",0,2,1,
Omnibus Law telah di sah kan,0,3,,
Ada yang kesini gara-gara RUU Omnibus Law disahkan ?,45,156,,
"Energi bersih emg Mahal diawal, tapi banyak untungnya
 Batubara emg murah, tapi banyak ruginya",0,2,,
"0:07 dapet clip itu darimana woy,ðŸ˜‚",0,2,,
Indonesia mirisðŸ˜¢,0,0,,
33 juta Ã— ditonton dulu gue nonton pas belum ada 100000,0,0,,
"kapan lh negara ni hancur y,biar berganti semua manusia di indonesia .hancur lh indonesia kuðŸ‘‹",2,1,,
Ko gw jdi gak bangga ya sama bangsa sendiriðŸ˜­,0,0,,
"Like dulu, kayaknya bagus banget. Tar malem nontonnya.",0,0,1,
Kepala pundak...,0,0,,
"Kalau misalnya pemerintahan Indonesia dikembalikan ke Belanda, kira-kira kita bisa jadi maju ga ya?",0,0,,
"Yang lain banyak yang bahas tentang omongan Gubernur Kaltim, tapi Pak Jokowi di 33:33 juga kayaknya minta ditempeleng, seenak mulutnya aja ngomong ""Ya gak papa, wong demo aja kok."" Yang demo itu rakyat yang sumber penghidupannya hilang, wahai Bapak Jokowi yang terhormat.",11,52,,
"Yg pas pilpres taun lalu kaga peduli ttg ini trs baru nonton october 2020 siape nii , like cuy",0,11,,
"seharusnya semua yang lihat vidio ini lihat berita ini
 
 LISTRIK GRAVITASI
 
 https://landaknews.com/2017/06/22/pria-tamatan-smp-ciptakan-pembangkit-listrik-terbaru/",0,0,,
"daripada laut di jakarta yang di reklamasi, mending lubang bekas tambang yang ada di Kalimantan. reklamasi di jakarta cuman buat orang kaya, tapi reklamasi di Kalimantan bisa menyelamatkan nyawa",0,18,1,
"ini ya bisnisnya SI JEY , anaknya JEY, Sama Wi rontok.",0,0,,
"39:08 oalah uno gk perlu kau taukid kan milik allah semua org tahu,,kalau hanya cari muka disosmed nyicil nyicil buat nama agar bagus,ingat!!! rakyat banyak yg mendongakkan tngan dan doa mereka ketika mereka telah terusik oleh keangkuhn dan kerakusanmu.",0,1,,
Aku baru sadar pulau pulau lain di peras kekayaannya untuk menghidupi jawa,0,0,,
Bang kira kira bisa ngerangkum orang2 yang ngerusak alam indonesia ngga bang?,1,0,,
Ban Pemerintah,0,0,,
"sehat terus aktivis lingkungan hidup, Tuhan bersama orang orang pemberani ðŸ™ðŸ¼",0,0,,
Wkwkwk anjing itu gubernurnyaðŸ˜«,0,0,,
"Temen game saya di grupchatt ada anak Kalimantan, suka blusukan dan suka kirim2 foto area pertambangan sambil sambat itu merusak sekali katanya. Dan jujur memang miris setiap dikirimi foto2 itu",0,0,,
Kren dokumentr nya om,0,0,1,
"""Indonesia dijajah oleh Bangsa itu sendiri""",1,9,,
Karena video ini gue jadi sadar betapa privilege nya idup gue sendiri dan gue masih sering ngeluh. Video ini bener bener tamparan banget ke hidup.,0,0,1,
"bersyukur bgt gw golput pilpres kemarin ternyata org2 didalamnya sangat WOW, mehadapi pilkada ni harus menggunakan akal sehat dari kaum2 kapitalis",0,0,,
Harus mulai hemat listrik agar pltu berkurang produktifitas & batubara jg penggunaan menurun drastis atau gunakan energy alternatif matahariðŸ™,0,0,1,
Partai lama partai baru LAGU LAMA TUKANG TIPU,0,0,,
Indonesia dipimpin oleh pemimpin yg serakah!!!,0,0,,
Terima kasih telah membuat film dokumentasi ini. Sangat mencerahkan. Apakah ada forum perjuangan yang dibuat untuk memperbaiki situasi ini? Trims sebelumnya.,0,0,1,
Tunggu saja penduduk asli BORNEO turun tanganðŸ‘,0,0,,
yang nonton tgl 25 bulan 9 2020 like yah,0,0,,
Somoga gebunur cepat mati,0,0,,
Balik.lagi ksini setelah pemeriksaan dandhy...kebebasan mulai terancam,0,0,,
Dislike itu membuktikan bahwa mereka adalah KORUPTOR DAN PEMERINTAH YANG JAHAT,0,0,1,
Buat lagi tentang Kebun Sawit,0,1,,
"LUHUT, adalah pemeran utama / dalang utama",0,1,,
"Demi Allah, laknatlah mereka yang merampas hak-hak rakyat jelata Indonesia ! Pejabat harusnya melindungi mengayomi rakyat jelata bukan malah memperkusinya.",0,0,,
"Yg dislike , pasti koruptor dan orng pemerintah",0,1,1,
"Neraka buat ""mereka""",0,3,,
"halo, saya tertarik dg backsound2nya.. kalo boleh tau search di artlist.io nya apa ya? terima kasih sebelumnya",0,2,,
"Tim yg solid....komprehensif. Pengumpulan data, video kesaksian, perlawanan dan harapan.
 Kerja keras dengan hasil bagus sekali.",0,5,1,
Sedih Melihat ini,0,0,,
uang diatas segalanya.....,0,0,,
Bajingan emang para orang orang rakus di pertambangan...bangsd..laknat akan menyertaimu kelak..lebih pedihhhh....lebih pedihhh....,0,1,1,
Kok ga tranding ya? Ada yg bisa jawab guys,1,0,,
"Kita bukan salah memilih energi pak, tapi salah memilih pemimpin yg bisa memilih energi.",0,1,1,
Semoga jurnalis Watchdog mau meliput semua fakta tentang pandemi covid dan semua scandal yang terjadi didalamnya.,1,0,,
Mudahan lakas kiamat nyman matian,0,0,,
Mening Golput aja pilpres taun selanjutnya. ðŸ˜‡,0,3,,
"Video yg sangat berkualitas ðŸ‘
 Membongkar ketidakadilan, tidak memperdulikan rakyat yg terimbas hanya memikirkan untung yg di dapatkan
 Seharusnya harus lebih di perhatikan lg dan di urusin dgn layak, bukan hanya menyepelekan",0,2,1,
Wisata hantu itu pak,0,0,,
"Jawaban Seorang Gubernur ga jauh sama anak Sd, ""kan itu Nasibnya dia mati di lubang galian""
 ,",0,0,,
"Dimulai dari sini, perjalananku bersama watchdoc dimulai",0,2,,
"Masalah listrik di indonesia bukan krn kurangnya kapasitas pembangkit. Tp lebih pada masalah distribusi. Pembangkit2 itu dibangun di wilayah jawa dan bali yg justru surplus listrik. Demi siapa? Demi para pemilik tambang batubara yg pingin batubaranya laku. Itu seperti nyuruh orang kekenyangan makan lagi dan lagi. Sementara ada wilayah2 lain yg krisis listriknya tp tdk diupayakan dialiri listrik krn ongkos pembangunannya lebih mahal dr dua pulau td. Dan lagi, di luar kedua pulau itu calon pelanggan PLN-nya jauh lebih tidak padat dan bersifat komunal. Berat diongkos kalau dilayani. Itu di video sudah dikasih solusi kok, warga hrs mulai melirik energi aternatif yg lebih renewable, yg sygnya pemerintah tdk mensuport itu. Hrs dibuat regulasi yg memudahkan warga untuk memproduksi listriknya sendiri",0,0,1,
"Wahai para mahasiswa , ciptakanlah sumber energi alternatif yang ramah lingkungan dan harga murah",0,1,,
Semoga dikasih siksa akhirat yg seberat2nya kpda orang2 yg ga bertanggung jawab atas rusaknya ekosistem & nyawa2 yg melayang karna kepentingan perut sendiri,0,0,,
Vidio paling bagus di yutup yg pernah gw lihat,0,4,1,
"Hmmm, from coal to electricity.
 Hmmm, sekarang ngerti lah gw kenapa si pakde ngebet mau meresmikan mobil listrik. 
 Yah yg pasti tujuannya mah bukan buat lingkungan tapi ehemmm",1,6,,
"Saya mah nunggu imam mahdi ajalah,...",0,1,,
Bisa gtu ya gabernernya.. Bis ktawa2 gtu,0,0,,
Banyak yg sok bijak ya tapi masih suka buang2 listrik/boros listrik.. Hemmm..,0,1,0,
Opening yg sngat mengencrotkan,0,0,,
"21092020
 Jejak",0,0,,
berdosalah seorang pemimpin yang suka mendzolimi rakyatnya...,0,2,,
"Ohh,,, Bumi tercintaku kapan kamu berhenti diperkosa,. oh,,, penguasa berhentilah menindas rakyat kecil. Aku tahu para penguasa butuh uwang, buat apa kelihatan mewah, megah klo dampaknya rakyat atao pribumi yang sengsara, . ingat dan sadar lah apapun dibumi ini titipan alloh swt. Kalian para penguasa yang rakus memperkosa bumi tercintaku' sadar dan ingat kalian akan mempertangung jawabkan semua ini di akhirat. BAHAGIA DIATAS PENDERITAAN RAKYAT",0,0,1,
"gak ada listrik nanti demo , serba salah bossss",1,0,0,
"Anjing apa bedanya sama belanda dan jepang dulu... ?
 Ternyata negara kita yg kita cintai se hancur ini",1,0,,
Gua gerasa sakit hati ngeliat kelakuan dari penguasa yg impeknya rakyat jadi korban.. Gua juga anak kamupung... Anak indonesia.. Yg gua ngga habis pikir pemerintah gimana ini.? Ini juga rakyat indonesia.,0,0,1,
Gua gadtang kesini karena liat video om dedy,0,0,,
Lho Iki presiden e lak papi ne ahyðŸ˜Ž,0,0,,
"Kadang mikir juga para pekerja tambang atau orang terkait pekerja di perusahaan lulusan sarjana pertambangan dan perminyakan dari universitas2 mereka disekolahkan pemerintah hingga lulus dan difasilitasi, mereka bekerja otomatis bekerja di bidang mereka jika lulusan tambang dan perminayakan pasti bekerja di pt Terkait pertambangan dan perminyakan, mereka disekolahkan pemerintah setelah lulus mereka malah beradu ide untuk kemajuan perusahaan pertambangan mengolah dan terjun ke pertambangan dan nantinya merusak lingkungn hidup juga. Mereka yang awal mulanya tidak terfikir untuk merusak lingkungan sehubung dibayar dengan gaji yang besar perusahaan akhirnya merekalah yg turut memiliki campur tangan ayas kerusakan ekosistem dan negara sendiri.Kenapa circlenya jadi gini. Di bayar buat sekolah di fasilitasi malah mereka juga yang ngerusak negara, dasarnya manusia serakah...hehe",0,0,1,
Film yang kerennn,0,0,1,
"26:14
 Strategi perusahaan/kontraltor besar selalu gitu..
 Sengaja aktivitasnya menyebabkan kerusakan di pemukiman agar penghuninya pergi sendiri jadi perusahaan tidak perlu ganti rugi banyak..",2,0,,
"Mereka bisa penjarakan 1.. Bisa penjarakan 2.. Bisa penjarakan 10.. Bagaimana kalau 1 kampung.. 1 lurah yang terus melakukan perlawanan? Pemerintah mau bui satu kampung? Hilangin 1 kampung? Jangan takut kalau mrmang benar! Kelompok kecil harus bersatu!
 Lihat akibta satu org dibui, sisanya takut.. Apa bedanya dengan kondisi sekarang dengan di bui?",0,0,,
"Warbiyasa ya respon pemerintah daerah sana,gapeduli blas sm rakyat di daerah sekitar pertambangan",0,0,,
masih adakah temn teman pemuda yang minat bertani?,0,0,,
"Next kita harus sama2 saling mengingatkan akan dampak dari lingkungan ini , agar masyarakat tidak selalu terkecoh oleh bualan para elite.
 
 Saat ini kita benar2 di tutupi apa yang sebenarnya terjadi di lapangan , dan bukannya kita tidak kritis , tapi oknum2 tsb selalu punya cara untuk membungkam publik.
 
 Kita selalu di suguhi hiburan , tapi pada dasarnya kita di perkosa sejati oleh kekuasaan. Dan mereka sudah mempelajari masyarakat kita yang doyan ngegossip akibat pengaruh entertaint berlebihan.",3,14,1,
syariah tai apaaaaa,0,0,,
Dan kita di sajikan sinetron biar ngga tahu apa yang terjadi sebenarnya . Kita di bodohi sekali,0,0,,
"Ya gw sih ga bela sana sini atau salahn sana sini klo mslh tambang gw prnh idup di kmpung bpk gw itu dlu jg mau d bkin pabrik semen trs d tolak mati2"" N akhirnya ga jadi cuma sodara gw dia org LSM kenalnnya jg bnyk dia tau sdkit mslh hukum klo mslh tambang itu sampai kapan pun tetap di cari mau di mana pun tmpt selagi tmpt itu msh ada psti tetap di gali krna itu sebagian dari kebutuhan ada bnrnyaa jg sih klo gw dngr dri sodara bpk gw , dan prnh blng jga jngn trlalu prcaya sama pmrintahan soal janji2"" Nya mreka berdebat hanya drama saja",0,0,,
Lingkaran setan ðŸ˜­,6,0,,
Sebuah ironi negri indonesia yg makmur jatuh ke tangan Perampok yg sangat serakah dan bertopeng Manis ðŸ¤‘ðŸ¤¡ðŸ‘º,0,0,,
Mirissss indonesiaku ðŸ˜¥ apalagi 10 th kedepan jadi apa negara ku ðŸ˜“,0,0,,
":) ternyata orang pintar ""diatas"" hanya cuman bisa ngancurin ya~. Mana janji janji mu dulu bung~",3,3,,
"Udah 1 tahun neh video, gimana kabar tuh lobang"" maut di kaltim . Apa tambah hebat atau benar"" udah di tutup balik",1,1,,
"Dan pada hari itu, akan ditutup mulut mereka, tangan dan kaki mereka akan menjadi saksi. 
 QS-yasin",0,0,,
pernah gak sih yg katanya aparat berwenang itu liat dokumentasi kayak gini ? biar melek matanya itu,0,0,,
Asu setan orang orang serakah!!,0,0,,
"Gunung dikeruk
 Hutan dibabat
 Batu diangkut
 Emas dikeruk
 Air di kemas
 Pasir digali
 Pribumi jadi kuli
 Dengan bencana menanti",6,32,,
gubernur bangsatttt,0,0,,
Tahun 2021hadir,0,0,,
Se bajingan ini kah dunia politik?,0,0,,
Kok gw kesel ya sma gubernur nya Kaltim,1,0,,
Pak ganjar yg suka main yuotube kira2 liat film ini gak ya..malu apa gk ya..,0,0,,
Yg membuat transmigrasi era orde baru.. yg menghancurkan lingkungan era reformasi...ya silakan nilai sendri mana yg lbih kejam dan gk prikemanusiaan...,0,0,,
"Gk akan d dengar karena triliunan rupiah hasilnya...karena kekayaan menghalalkan segala cara!!!!
 Klo pengusaha kaya raya yg melakukan penambngan batu bara ini disebut bisnis..tpi klo yg mengeruk masyarakat secara ilegal ini d sebut tindakan melanggar hukum...",1,0,,
"Kiranya Tuhan memulihkan kondisi Indonesia... 
 
 #masihselaluberharappadaNya",0,3,,
"sumpah keren nih, dari dulu gw nyari film dokumentasi ginian, kalo liat di tv kurang puas rasanya",0,1,1,
saya orang batang mau kerja di pltu batang aja susahh,0,0,,
"Kalimantan babak belur..
 Yg sejahtera pulau seberang
 Yg sejahtera manusia seberang
 Teruskan indonesiaku",0,3,,
Salah pilih presiden,0,0,,
"""Setiap desa bisa menjadikan ini sebagai rujukan untuk menggambarkan jelas permasalahan yang ada di bumi kita, karena kerakusan struktural telah masuk ke pori pori Desa, semoga sehat negeriku""
 
 ""Bukan hanya masalah uang, lebih jauh lagi ini masalah masa depan yang melayang""
 
 SalamDariKotaBawang
 HampirBerubahMenjadiKotaHutang",0,1,1,
Berapa dosa yang kau perbuat perusahaan dan pemerintah,0,0,,
"Saya pernah kerja di tambang batubara, memang wilayah tambang sudah masuk ke kampungÂ², bahkan banyak rumahÂ² warga, kebun, masjid... di beli/di ganti dg rupiah. Ada uang debu, uang bising, utk stiap KK yg tinggal di sekitar tmbang/jetty. Setelah kejdian anak saya batukÂ², krn tidak kuat dg debu/udara di sekitar tambang, saya berhenti bekerja. Lalu sekarang saya kerja di prusahaan industri nikel, disini timbul suatu yg janggal, yaitu TKA asal tiongkok. Ratusan bahkan ribuan TKA china, kerja di indonesia. Secara tidak sadar kita telah di jajah oleh china. ðŸ™ðŸ»
 Salam dari saya..ðŸ™ðŸ»ðŸ™ðŸ»
 Asli jawa tengah, merantau di pulau OBI, halmahera selatan, maluku utara.",2,2,,
Ngak seru,0,0,0,
"Uang yang mengatur negara, bukan negara yang mengatur uang.",0,0,,
"Virus CORONA dan penyakit lainnya tidak ada apaâ€nya di bandingkan manusia...karna sebenernya manusialah virus mematikan buat kehidupan d bumi...hutan di gunduli,hewan dibunuh,perut bumi dikeruk dan msih banyak lagi. Dgn alasan ekonomi, penunjang hidup manusia dll,,jdi ketika bencana dan penyakit mewabah untuk manusia..itu hanya cara dri ibu pertiwi untuk menyembuhkan diri",0,0,,
"Negara dengan Pimpinan dari Militer : bikin Negara nya disegani oleh negara lain
 Negara dengan pimpinan dari Pebisnis : Korbanin rakyat demi Kepentingan suatu kelompok",1,0,,
Gubernurnya parah..,0,0,,
Perusak alam... Bangunan inilah tambang itulah,0,0,,
"Bagus sekali filmnya bang salam NKRI garis lucu kita merdeka hanya sebutan saja. Krn kemerdekaan bukan murni milik pribumi melainkan aseng/ penghianat bangsa. Sangat jarang film ðŸŽ¥ dokumenter seperti ini fakta dari birokrasi yg ada slama ini menutup nurani menggadaikan martabat demi kepentingan elite politik & ini fakta adanya, , bukanya utusan pemimpin itu dari rakyat utk rakyat ??? Kenyataan tdk sejalan dgn aspirasi rakyat kecil.. jiwa nasionalis sudah tidak ada para pemimpin negri ini melainkan lbh utama kepentingan/ golongan mereka itu sendiri",0,0,1,
16:00 si anjay ketawa2,0,0,,
