,text,text_clean
29,"15:08 ya allah ngakak nya dengernya. Ada upaya untuk mencegah korban jiwa? Jawabnya ya kalau udah nasib dia meninggal seharusnya dia tau disitu ada lobang tambang 
  
  Pertanggung jawaban nya di akhirat? Ã°Å¸Ëœâ€šÃ°Å¸Â¤Â£",ya allah ngakak nya dengernya ada upaya untuk mencegah korban jiwa jawabnya ya kalau udah nasib dia meninggal seharusnya dia tau disitu ada lobang tambang pertanggung jawaban nya di akhirat
30,semoga penguasa negeri ini secepatnya mendapat petunjuk ke jalan yg benar,semoga penguasa negeri ini secepatnya mendapat petunjuk ke jalan yg benar
31,"Backsoundnya judulnya apa sih? Suka banget, kalo ada yg punya link harap shareÃ°Å¸â„¢Â",backsoundnya judulnya apa sih suka banget kalo ada yg punya link harap share
32,"Nonton ke 2 kalinya guys 2020 nobember 9 .
  23:55wib",nonton ke kalinya guys nobember wib
33,Kami yang di kalimantan sangat berterima kasih atas video ini sangat mewakili perasaan dan unek. Terim kasih,kami yang di kalimantan sangat berterima kasih atas video ini sangat mewakili perasaan dan unek terim kasih
34,"Kesimpulannya PLTU batu bara tdk berguna.. kegunaan nya kecil. Dampak sosial dan kesehatannya besar.. yg terkena adalah org yg tdk mampu. Pendapatannya kecil sehingga membeli air purifer aja tdk mampu. Tapi mau menggunakan berapa banyak air purifer juga. Wong 1 cerobong PLTU itu setara dgn berapa ratus motor tuhh hahaha paling bener pake panel surya di pasang di permukaan laut. Ditebar hingga mencapai luar 5.000H pasti top deh. Rama lingkungan hasilnya juga paten bgt. Mulailah berpikir unt menggunakan energi terbarukan. Krn menjaga kelestarian lingkungan itu sangat penting unt kelangsungan kehidupan semuanya kita ummat manusia.. yg punya duit jgn serakah. Yg pinter, otak nya digunakan. jgn jd jahat... Ã°Å¸â€˜Â",kesimpulannya pltu batu bara tdk berguna kegunaan nya kecil dampak sosial dan kesehatannya besar yg terkena adalah org yg tdk mampu pendapatannya kecil sehingga membeli air purifer aja tdk mampu tapi mau menggunakan berapa banyak air purifer juga wong cerobong pltu itu setara dgn berapa ratus motor tuhh hahaha paling bener pake panel surya di pasang di permukaan laut ditebar hingga mencapai luar h pasti top deh rama lingkungan hasilnya juga paten bgt mulailah berpikir unt menggunakan energi terbarukan krn menjaga kelestarian lingkungan itu sangat penting unt kelangsungan kehidupan semuanya kita ummat manusia yg punya duit jgn serakah yg pinter otak nya digunakan jgn jd jahat
35,Ayo kalahkan partai banteng di PILKADA besok,ayo kalahkan partai banteng di pilkada besok
36,Ada yang masih nonton di bulan November 2020Ã°Å¸Ëœâ‚¬Ã°Å¸â€˜Â,ada yang masih nonton di bulan november
37,Omnibuslaw ciptakerja adalah bukti balas budi kepada segelintir orang !,omnibuslaw ciptakerja adalah bukti balas budi kepada segelintir orang
38,"Saya salut dgn jurnalis you tube ini. 
  Padahal mereka tidak d dukung dgn tv mn pun tp berani tuk mengungkapkan secara real.",saya salut dgn jurnalis you tube ini padahal mereka tidak d dukung dgn tv mn pun tp berani tuk mengungkapkan secara real
39,Gubernur yg tidak sokolah,gubernur yg tidak sokolah
40,"Gila semua ternyata yaa Pejabat kitaÃ°Å¸Ëœ Ã°Å¸Ëœ 
  Saat nya rakyat melek politik, lawan ayo para Mafia di negeri iniÃ°Å¸Ëœ Ã°Å¸Ëœ Ã°Å¸Ëœ",gila semua ternyata yaa pejabat kita saat nya rakyat melek politik lawan ayo para mafia di negeri ini
41,"Itu Gubernur Kaltim kasih pernyataan kok kaya orang ngga sekolah nya, ngga pates banget jadi pejabat..
  Pengen doakan mati tapi gak bolehÃ°Å¸Ëœ Ã°Å¸Ëœ Ã°Å¸Ëœ Ã°Å¸Ëœ Ã°Å¸Ëœ Ã°Å¸Ëœ Ã°Å¸Ëœ",itu gubernur kaltim kasih pernyataan kok kaya orang ngga sekolah nya ngga pates banget jadi pejabat pengen doakan mati tapi gak boleh
42,Ada yg balik ke sini gara2 tugas?,ada yg balik ke sini gara tugas
43,"Kesini mau ngasih tau, desa saya akan diadakan pengeboran air bersih untuk PT sedalam 150meter, doakan semoga gagal :(",kesini mau ngasih tau desa saya akan diadakan pengeboran air bersih untuk pt sedalam meter doakan semoga gagal
44,Alhamdullilah yang nonton udah mencapai 30 jutaan semoga semakin banyak yang teredukasi,alhamdullilah yang nonton udah mencapai jutaan semoga semakin banyak yang teredukasi
45,Tiba tiba teringat film ini satu tahun yg lalu setelah melihat disahkan nya perpanjangan industri batubara bakrie 20 tahunÃ°Å¸Ëœâ€¢Ã°Å¸Â¥Âº,tiba tiba teringat film ini satu tahun yg lalu setelah melihat disahkan nya perpanjangan industri batubara bakrie tahun
46,Terbukti,terbukti
47,"Kesini gara"" Omnibus law sudah d sahkan tengah malam",kesini gara omnibus law sudah d sahkan tengah malam
48,Cuma bisa ketawa si liat kek gini. Baru pertambangan batu bara masalahnya udah bejebun segini. Belum lagi pertambangan yang lain,cuma bisa ketawa si liat kek gini baru pertambangan batu bara masalahnya udah bejebun segini belum lagi pertambangan yang lain
49,34 juta viewers tapi sayang kena copyright gak bisa di monet,juta viewers tapi sayang kena copyright gak bisa di monet
50,Masukin trending youtobe indonesia 2020 ampe 2021 biar pada ngerti kondisi kita sekarang,masukin trending youtobe indonesia ampe biar pada ngerti kondisi kita sekarang
51,Panjang unur hal-hal baikÃ°Å¸Å’Â»,panjang unur halhal baik
52,Terimakasih atas video yang telah anda dan rekan-rekan anda buat. Semoga setelah menonton video ini orang-orang semakin tahu apa dampak yang akan diterima Indonesia kalau pemerintahnya tidak memedulikan alam yang hanya memedulikan kedudukannya serta kekayaan keluarganya saja.,terimakasih atas video yang telah anda dan rekanrekan anda buat semoga setelah menonton video ini orangorang semakin tahu apa dampak yang akan diterima indonesia kalau pemerintahnya tidak memedulikan alam yang hanya memedulikan kedudukannya serta kekayaan keluarganya saja
53,INDONESIA ..Negeri Kaya Bagi Para Penguasa..,indonesia negeri kaya bagi para penguasa
54,"jangan hanya lihat dokumentasi ini doang
  lihat dokumentasi lainya yang diperoleh secara susah payah oleh tim expedisi indonesia biru",jangan hanya lihat dokumentasi ini doang lihat dokumentasi lainya yang diperoleh secara susah payah oleh tim expedisi indonesia biru
55,#MosiTidakPercaya,mositidakpercaya
56,Folow igx bang dandhy Laksono pembuat video sexykillers,folow igx bang dandhy laksono pembuat video sexykillers
57,"Ada yang tau, nama instrumen di videonyaa apa ya? Kereun beudddd...",ada yang tau nama instrumen di videonyaa apa ya kereun beudddd
58,Hasil bumi masuk ke kantong pemimpin..rumusannya..haha,hasil bumi masuk ke kantong pemimpinrumusannyahaha
59,si tabiat rakus yg berada di pemerintahan sudah menguasai,si tabiat rakus yg berada di pemerintahan sudah menguasai
60,Disini saya dapat menyimpulkan bahwa perkataan jokowi mulai dari waktu kampanye sampai sekarang adalah dusta.,disini saya dapat menyimpulkan bahwa perkataan jokowi mulai dari waktu kampanye sampai sekarang adalah dusta
61,Setahu saya kebutuhan listrik di Jawa itu surplus (kelebihan dari yang dibutuhkan),setahu saya kebutuhan listrik di jawa itu surplus kelebihan dari yang dibutuhkan
62,Jawaban pak gubernur nya kayak anjing,jawaban pak gubernur nya kayak anjing
63,Jadi wisata ndasmu,jadi wisata ndasmu
64,Gada otak yg dislike ini bajingan..!,gada otak yg dislike ini bajingan
65,Harusnya tau gini gw golput aja ya :( tapi di billang anti bgt :( pas mau milih calonnya semua gitu:( kayaknya cuma gw doang ya yg ngerasain capres kemaren tuh galau bgtÃ°Å¸â„¢ÂÃ°Å¸ËœÅ’Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­,harusnya tau gini gw golput aja ya tapi di billang anti bgt pas mau milih calonnya semua gitu kayaknya cuma gw doang ya yg ngerasain capres kemaren tuh galau bgt
66,Nangis gw setelah nonton ini film,nangis gw setelah nonton ini film
67,Ya Tuhan. Menit 15-16 Penderitaan orang lain dijadikan bahan candaan,ya tuhan menit penderitaan orang lain dijadikan bahan candaan
68,"1:08:02 anjing pantesan dia jadi mentri agama , memang pemerintah ni BISNIS doang .",anjing pantesan dia jadi mentri agama memang pemerintah ni bisnis doang
69,mati aja kau pak tua,mati aja kau pak tua
70,"Gw sih ada pro kontra nya, emang penting sih indonesia mbanyakin pembangkit listik apalagi ditahun 2055 yang kata nya minyak bumi akan habis dan pasti nya listik jadi induk energi paling dibutuhkan, kontranya sih ke cara penanganan dampak nya yang belom baik di indo apalagi di negri yang uang jadi yang paling unggul ini",gw sih ada pro kontra nya emang penting sih indonesia mbanyakin pembangkit listik apalagi ditahun yang kata nya minyak bumi akan habis dan pasti nya listik jadi induk energi paling dibutuhkan kontranya sih ke cara penanganan dampak nya yang belom baik di indo apalagi di negri yang uang jadi yang paling unggul ini
71,datang ke sini lagi karena omnimbus law,datang ke sini lagi karena omnimbus law
72,Sungguh berdosa para pemilik pltu serta tambang yg merugikan orang lain,sungguh berdosa para pemilik pltu serta tambang yg merugikan orang lain
73,Yg trending youtuber sampah ata,yg trending youtuber sampah ata
74,"INGAT GAGALKAN UU CILAKA, Ciptaan Rezim Jokowi.. Yang terjadi selanjutnya akan lebih rusak alam kita dibanding sekarang.",ingat gagalkan uu cilaka ciptaan rezim jokowi yang terjadi selanjutnya akan lebih rusak alam kita dibanding sekarang
75,Luhut panjaitan,luhut panjaitan
76,Goblok banyak hantu nya haha,goblok banyak hantu nya haha
77,"gue nonton setahun yg lalu, hari ini mampir lagi sekedar mengingatkan. siap2 yg punya tanah dekat tambang beliau dilibas habis oleh omnibus law..",gue nonton setahun yg lalu hari ini mampir lagi sekedar mengingatkan siap yg punya tanah dekat tambang beliau dilibas habis oleh omnibus law
78,Gw gak sengaja trdampar disini krn nyari investor buat beli lahan batu bara milik gw. Anak gw pengen masuk kedokteran. Gw bertahun tahun kerja swasta gak mampu ngumpulin duit stengah M utk biaya msk nya.,gw gak sengaja trdampar disini krn nyari investor buat beli lahan batu bara milik gw anak gw pengen masuk kedokteran gw bertahun tahun kerja swasta gak mampu ngumpulin duit stengah m utk biaya msk nya
79,Lanjut 3 Periode,lanjut periode
80,"Yang dislike 
  Why?",yang dislike why
81,Sedih nontonnya .. Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­,sedih nontonnya
82,"pihak yg terkait mana ada nonton kekginian
  brangkat ke luar negri pesen bioskop pribadi ngetek sambil ktawa ktiwi",pihak yg terkait mana ada nonton kekginian brangkat ke luar negri pesen bioskop pribadi ngetek sambil ktawa ktiwi
83,Cepat sehat dan lekas membaik akal para pejabat-pejabat negri yg mempunyai kuasa dan tahta dan lekas membaik Indonesiaku.,cepat sehat dan lekas membaik akal para pejabatpejabat negri yg mempunyai kuasa dan tahta dan lekas membaik indonesiaku
84,16-10-20 kembali menonton,kembali menonton
85,6:08 amarah ibu suli,amarah ibu suli
86,"udah setahun...
  keliatan kan kedoknya sekarang",udah setahun keliatan kan kedoknya sekarang
87,"Tinggal tunggu joker lahir, hal baik yang tidak d inginkan mengerti maksudnya?",tinggal tunggu joker lahir hal baik yang tidak d inginkan mengerti maksudnya
88,Nyambung ke omnibuslaw sekarang,nyambung ke omnibuslaw sekarang
89,"dunia bukanlah tempat yang Aman untuk ditinggali, bukan Karena orang orangnya yang jahat tapi karena orang orangnya yang tidak peduli",dunia bukanlah tempat yang aman untuk ditinggali bukan karena orang orangnya yang jahat tapi karena orang orangnya yang tidak peduli
90,"Dari awal lahir film ini sdh sangat viral.. Sdh paham, semua sama saja.. Makin yakin pilkada abstain...",dari awal lahir film ini sdh sangat viral sdh paham semua sama saja makin yakin pilkada abstain
91,Yang membuat film ini bang dhandy Laksono Ã°Å¸â€Â¥,yang membuat film ini bang dhandy laksono
92,"Setahun lalu, dan saya menonton kembali saat issue demo dan UU Omnibuslaw yang sedang tranding beberapa pekan ini, dan sekarang saya semakin paham. Ya Allah Jauhkanlah kami dari segala tipudaya dunia yaAllahÃ°Å¸â„¢ÂÃ°Å¸ËœÅ’",setahun lalu dan saya menonton kembali saat issue demo dan uu omnibuslaw yang sedang tranding beberapa pekan ini dan sekarang saya semakin paham ya allah jauhkanlah kami dari segala tipudaya dunia yaallah
93,Lama2 indonesia bisa hancur alam semestanya....,lama indonesia bisa hancur alam semestanya
94,"Sekarang kalimantan bukan lubang bekas tambang doang, tapi hutan ny udah rata ama kebon sawit..",sekarang kalimantan bukan lubang bekas tambang doang tapi hutan ny udah rata ama kebon sawit
95,"Nyesel kenapa baru nonton sekarang :(
  Bagus bgtttÃ°Å¸ËœÂ­",nyesel kenapa baru nonton sekarang bagus bgttt
96,Oh Indonesiaku Ã°Å¸ËœÂ¢,oh indonesiaku
97,Saya sangat mengharap kan penelusuran terkini mengenai kisah ini,saya sangat mengharap kan penelusuran terkini mengenai kisah ini
98,semoga lekas membaik,semoga lekas membaik
99,"GARA-GARA OMNIBUSLAW...
  BALIK LAGI GUA TRIAKÃ‚Â² suruh nonton orangÃ‚Â² alay pendukung UU LAKNAT itu,,, meraka tanya tau dari mana hutan negri kita rusak...???
  Niiiih nonton ini duluuuu baru triakÃ‚Â² ...Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­",garagara omnibuslaw balik lagi gua triak suruh nonton orang alay pendukung uu laknat itu meraka tanya tau dari mana hutan negri kita rusak niiiih nonton ini duluuuu baru triak
100,Kesini gara gara demo Ã°Å¸ËœÅ’,kesini gara gara demo
101,Kesekian kalinya nonton ini dan makin menyayat hati. Lekas membaik indonesia,kesekian kalinya nonton ini dan makin menyayat hati lekas membaik indonesia
102,"Ya.Allah.....miris liat negri ini,rakyat kecil haknya di rampas,makin sengsara,para petingginya pada koruptor,sama nikmatin hasil tambang...?",yaallahmiris liat negri inirakyat kecil haknya di rampasmakin sengsarapara petingginya pada koruptorsama nikmatin hasil tambang
103,"Ã¢ËœÂ¹Ã¢ËœÂ¹
  Cepatlah bangkit negeriku Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­
  Elit elit sadarlahh ..",cepatlah bangkit negeriku elit elit sadarlahh
104,Balik lagi karena RUU omnibuslaw dan banyaknya konspirasi,balik lagi karena ruu omnibuslaw dan banyaknya konspirasi
105,"Pertama lihat video ini tembus 10jt, eh skrng sdh 34jt view Ã°Å¸â€˜ÂÃ°Å¸â€˜Â",pertama lihat video ini tembus jt eh skrng sdh jt view
106,"KUASA DIBALIK USAHA atau USAHA DIBALIK KUASA? 
  #Chanell inspiratif, tentu sangat tidak mudah untuk membuat video ini, penuh tantangan bahkan saya yakin ada ancaman. 
  
  Semoga terus menginspirasi anak bangsa. Ã°Å¸â„¢Â",kuasa dibalik usaha atau usaha dibalik kuasa chanell inspiratif tentu sangat tidak mudah untuk membuat video ini penuh tantangan bahkan saya yakin ada ancaman semoga terus menginspirasi anak bangsa
107,setelah uu cipta kerja di sah kan... saya takut akan byk daerah seperti ini nantinya... sedih,setelah uu cipta kerja di sah kan saya takut akan byk daerah seperti ini nantinya sedih
108,Intinya dalam politik tidak ada yang 100% bersih,intinya dalam politik tidak ada yang bersih
109,Jgn smpe orang atas tauu..nnti videonnya hilang,jgn smpe orang atas tauunnti videonnya hilang
110,Yang setuju virus Corona untuk menutupi dampak polusi PLTU like..,yang setuju virus corona untuk menutupi dampak polusi pltu like
111,balik ke sini gegara omnibus?,balik ke sini gegara omnibus
112,Ramai berita omnibus law jadi ingat iniÃ°Å¸Â¤â€,ramai berita omnibus law jadi ingat ini
113,"Balik lagi kesini setelah merekomendasikan pada orang-orang 'bloks' yang sok peduli sama omnibuslaw yang sah & menyalahkan pilpres kemarin karena salah pilih 
  Justru disini saya mengingatkan bahwa siapapun saat itu yang kalian pilih ( pilpres ) pilihan itu adalah Simalakama !!",balik lagi kesini setelah merekomendasikan pada orangorang bloks yang sok peduli sama omnibuslaw yang sah menyalahkan pilpres kemarin karena salah pilih justru disini saya mengingatkan bahwa siapapun saat itu yang kalian pilih pilpres pilihan itu adalah simalakama
114,Yang kemari (lagi) karena omnibus law disahkan Ã°Å¸Â¤Â£,yang kemari lagi karena omnibus law disahkan
115,Udah nonton thn 2019 skrng Balik sini setelah Di sahkan RUU Ciptaker,udah nonton thn skrng balik sini setelah di sahkan ruu ciptaker
116,gw balik karna UU CIPTAKERJA disah in,gw balik karna uu ciptakerja disah in
117,Ada yang balik ke sini setelah RUU cipta kerja disahkan ?,ada yang balik ke sini setelah ruu cipta kerja disahkan
118,"Meski udh dua kali nonton ini, saya secara pribadi masih merasa begitu sedih dan terpukul melihat kondisi bangsa yang seperti ini, alam rusak, rakyat melarat.",meski udh dua kali nonton ini saya secara pribadi masih merasa begitu sedih dan terpukul melihat kondisi bangsa yang seperti ini alam rusak rakyat melarat
119,Omnibus Law telah di sah kan,omnibus law telah di sah kan
120,Ada yang kesini gara-gara RUU Omnibus Law disahkan ?,ada yang kesini garagara ruu omnibus law disahkan
121,"Energi bersih emg Mahal diawal, tapi banyak untungnya
  Batubara emg murah, tapi banyak ruginya",energi bersih emg mahal diawal tapi banyak untungnya batubara emg murah tapi banyak ruginya
122,"0:07 dapet clip itu darimana woy,Ã°Å¸Ëœâ€š",dapet clip itu darimana woy
123,Indonesia mirisÃ°Å¸ËœÂ¢,indonesia miris
124,33 juta Ãƒâ€” ditonton dulu gue nonton pas belum ada 100000,juta ditonton dulu gue nonton pas belum ada
125,"kapan lh negara ni hancur y,biar berganti semua manusia di indonesia .hancur lh indonesia kuÃ°Å¸â€˜â€¹",kapan lh negara ni hancur ybiar berganti semua manusia di indonesia hancur lh indonesia ku
126,Ko gw jdi gak bangga ya sama bangsa sendiriÃ°Å¸ËœÂ­,ko gw jdi gak bangga ya sama bangsa sendiri
127,"Like dulu, kayaknya bagus banget. Tar malem nontonnya.",like dulu kayaknya bagus banget tar malem nontonnya
128,Kepala pundak...,kepala pundak
129,"Kalau misalnya pemerintahan Indonesia dikembalikan ke Belanda, kira-kira kita bisa jadi maju ga ya?",kalau misalnya pemerintahan indonesia dikembalikan ke belanda kirakira kita bisa jadi maju ga ya
130,"Yang lain banyak yang bahas tentang omongan Gubernur Kaltim, tapi Pak Jokowi di 33:33 juga kayaknya minta ditempeleng, seenak mulutnya aja ngomong ""Ya gak papa, wong demo aja kok."" Yang demo itu rakyat yang sumber penghidupannya hilang, wahai Bapak Jokowi yang terhormat.",yang lain banyak yang bahas tentang omongan gubernur kaltim tapi pak jokowi di juga kayaknya minta ditempeleng seenak mulutnya aja ngomong ya gak papa wong demo aja kok yang demo itu rakyat yang sumber penghidupannya hilang wahai bapak jokowi yang terhormat
131,"Yg pas pilpres taun lalu kaga peduli ttg ini trs baru nonton october 2020 siape nii , like cuy",yg pas pilpres taun lalu kaga peduli ttg ini trs baru nonton october siape nii like cuy
132,"seharusnya semua yang lihat vidio ini lihat berita ini
  
  LISTRIK GRAVITASI
  
  https://landaknews.com/2017/06/22/pria-tamatan-smp-ciptakan-pembangkit-listrik-terbaru/",seharusnya semua yang lihat vidio ini lihat berita ini listrik gravitasi
133,"daripada laut di jakarta yang di reklamasi, mending lubang bekas tambang yang ada di Kalimantan. reklamasi di jakarta cuman buat orang kaya, tapi reklamasi di Kalimantan bisa menyelamatkan nyawa",daripada laut di jakarta yang di reklamasi mending lubang bekas tambang yang ada di kalimantan reklamasi di jakarta cuman buat orang kaya tapi reklamasi di kalimantan bisa menyelamatkan nyawa
134,"ini ya bisnisnya SI JEY , anaknya JEY, Sama Wi rontok.",ini ya bisnisnya si jey anaknya jey sama wi rontok
135,"39:08 oalah uno gk perlu kau taukid kan milik allah semua org tahu,,kalau hanya cari muka disosmed nyicil nyicil buat nama agar bagus,ingat!!! rakyat banyak yg mendongakkan tngan dan doa mereka ketika mereka telah terusik oleh keangkuhn dan kerakusanmu.",oalah uno gk perlu kau taukid kan milik allah semua org tahukalau hanya cari muka disosmed nyicil nyicil buat nama agar bagusingat rakyat banyak yg mendongakkan tngan dan doa mereka ketika mereka telah terusik oleh keangkuhn dan kerakusanmu
136,Aku baru sadar pulau pulau lain di peras kekayaannya untuk menghidupi jawa,aku baru sadar pulau pulau lain di peras kekayaannya untuk menghidupi jawa
137,Bang kira kira bisa ngerangkum orang2 yang ngerusak alam indonesia ngga bang?,bang kira kira bisa ngerangkum orang yang ngerusak alam indonesia ngga bang
138,Ban Pemerintah,ban pemerintah
139,"sehat terus aktivis lingkungan hidup, Tuhan bersama orang orang pemberani Ã°Å¸â„¢ÂÃ°Å¸ÂÂ¼",sehat terus aktivis lingkungan hidup tuhan bersama orang orang pemberani
140,Wkwkwk anjing itu gubernurnyaÃ°Å¸ËœÂ«,wkwkwk anjing itu gubernurnya
141,"Temen game saya di grupchatt ada anak Kalimantan, suka blusukan dan suka kirim2 foto area pertambangan sambil sambat itu merusak sekali katanya. Dan jujur memang miris setiap dikirimi foto2 itu",temen game saya di grupchatt ada anak kalimantan suka blusukan dan suka kirim foto area pertambangan sambil sambat itu merusak sekali katanya dan jujur memang miris setiap dikirimi foto itu
142,Kren dokumentr nya om,kren dokumentr nya om
143,Indonesia dijajah oleh Bangsa itu sendiri,indonesia dijajah oleh bangsa itu sendiri
144,Karena video ini gue jadi sadar betapa privilege nya idup gue sendiri dan gue masih sering ngeluh. Video ini bener bener tamparan banget ke hidup.,karena video ini gue jadi sadar betapa privilege nya idup gue sendiri dan gue masih sering ngeluh video ini bener bener tamparan banget ke hidup
145,"bersyukur bgt gw golput pilpres kemarin ternyata org2 didalamnya sangat WOW, mehadapi pilkada ni harus menggunakan akal sehat dari kaum2 kapitalis",bersyukur bgt gw golput pilpres kemarin ternyata org didalamnya sangat wow mehadapi pilkada ni harus menggunakan akal sehat dari kaum kapitalis
146,Harus mulai hemat listrik agar pltu berkurang produktifitas & batubara jg penggunaan menurun drastis atau gunakan energy alternatif matahariÃ°Å¸â„¢Â,harus mulai hemat listrik agar pltu berkurang produktifitas batubara jg penggunaan menurun drastis atau gunakan energy alternatif matahari
147,Partai lama partai baru LAGU LAMA TUKANG TIPU,partai lama partai baru lagu lama tukang tipu
148,Indonesia dipimpin oleh pemimpin yg serakah!!!,indonesia dipimpin oleh pemimpin yg serakah
149,Terima kasih telah membuat film dokumentasi ini. Sangat mencerahkan. Apakah ada forum perjuangan yang dibuat untuk memperbaiki situasi ini? Trims sebelumnya.,terima kasih telah membuat film dokumentasi ini sangat mencerahkan apakah ada forum perjuangan yang dibuat untuk memperbaiki situasi ini trims sebelumnya
150,Tunggu saja penduduk asli BORNEO turun tanganÃ°Å¸â€˜Â,tunggu saja penduduk asli borneo turun tangan
151,yang nonton tgl 25 bulan 9 2020 like yah,yang nonton tgl bulan like yah
152,Somoga gebunur cepat mati,somoga gebunur cepat mati
153,Balik.lagi ksini setelah pemeriksaan dandhy...kebebasan mulai terancam,baliklagi ksini setelah pemeriksaan dandhykebebasan mulai terancam
154,Dislike itu membuktikan bahwa mereka adalah KORUPTOR DAN PEMERINTAH YANG JAHAT,dislike itu membuktikan bahwa mereka adalah koruptor dan pemerintah yang jahat
155,Buat lagi tentang Kebun Sawit,buat lagi tentang kebun sawit
156,"LUHUT, adalah pemeran utama / dalang utama",luhut adalah pemeran utama dalang utama
157,"Demi Allah, laknatlah mereka yang merampas hak-hak rakyat jelata Indonesia ! Pejabat harusnya melindungi mengayomi rakyat jelata bukan malah memperkusinya.",demi allah laknatlah mereka yang merampas hakhak rakyat jelata indonesia pejabat harusnya melindungi mengayomi rakyat jelata bukan malah memperkusinya
158,"Yg dislike , pasti koruptor dan orng pemerintah",yg dislike pasti koruptor dan orng pemerintah
159,"Neraka buat ""mereka""",neraka buat mereka
160,"halo, saya tertarik dg backsound2nya.. kalo boleh tau search di artlist.io nya apa ya? terima kasih sebelumnya",halo saya tertarik dg backsoundnya kalo boleh tau search di artlistio nya apa ya terima kasih sebelumnya
161,"Tim yg solid....komprehensif. Pengumpulan data, video kesaksian, perlawanan dan harapan.
  Kerja keras dengan hasil bagus sekali.",tim yg solidkomprehensif pengumpulan data video kesaksian perlawanan dan harapan kerja keras dengan hasil bagus sekali
162,Sedih Melihat ini,sedih melihat ini
